"description","category"
"WiFi disconnects every few minutes","Network"
"Cannot connect to office VPN","Network"
"Internet extremely slow on all devices","Network"
"Network printer unreachable from workstation","Network"
"User cannot access shared network drives","Network"
"VPN connects but no internet access","Network"
"DNS lookup failing for internal sites","Network"
"Firewall blocking outbound traffic","Network"
"Teams calls dropping frequently","Network"
"Router rebooted but still no connection","Network"
"Ethernet cable connected but no network","Network"
"Switch port appears dead","Network"
"WiFi asks for password repeatedly","Network"
"Cannot connect to guest WiFi","Network"
"Network outage on second floor","Network"
"IP conflict detected","Network"
"User cannot ping internal hosts","Network"
"WiFi signal weak in meeting room","Network"
"VPN authentication failing","Network"
"Network drive mapping keeps failing","Network"
"Proxy server unreachable","Network"
"Cannot access intranet portal","Network"
"Network latency extremely high","Network"
"Packet loss on wired connection","Network"
"VPN disconnects when switching networks","Network"
"WiFi drops when moving between rooms","Network"
"DHCP not assigning IP address","Network"
"Network cable damaged","Network"
"Cannot reach cloud services","Network"
"SSL VPN certificate error","Network"
"Office WiFi not showing in list","Network"
"Network switch overheating","Network"
"Router configuration corrupted","Network"
"VPN client stuck on connecting","Network"
"Cannot access remote desktop","Network"
"Network bandwidth saturated","Network"
"WiFi captive portal not loading","Network"
"Network loop detected","Network"
"User cannot access shared printer","Network"
"VPN split tunneling not working","Network"
"Network adapter disabled","Network"
"WiFi interference suspected","Network"
"Cannot access secure internal site","Network"
"Network cable loose","Network"
"VPN drops during file transfer","Network"
"Network authentication required","Network"
"WiFi roaming not functioning","Network"
"Network outage due to maintenance","Network"
"User cannot access FTP server","Network"
"Network port blocked by policy","Network"
"Screen is completely black","Hardware"
"Monitor flickering randomly","Hardware"
"Laptop battery not charging","Hardware"
"USB ports not responding","Hardware"
"Mouse cursor jumping around","Hardware"
"Keyboard keys sticking","Hardware"
"Hard drive making clicking noises","Hardware"
"Docking station not detecting laptop","Hardware"
"External monitor not displaying","Hardware"
"Fan running loudly constantly","Hardware"
"Laptop hinge broken","Hardware"
"Headset microphone not detected","Hardware"
"Printer jammed and won’t clear","Hardware"
"Webcam not turning on","Hardware"
"Screen extremely dim","Hardware"
"Touchpad not responding","Hardware"
"Desktop won’t boot past BIOS","Hardware"
"RAM failure detected","Hardware"
"Laptop randomly powers off","Hardware"
"Ethernet port broken","Hardware"
"Monitor shows no signal","Hardware"
"Laptop screen cracked","Hardware"
"Overheating during normal use","Hardware"
"Power button unresponsive","Hardware"
"Laptop keyboard backlight not working","Hardware"
"Printer not powering on","Hardware"
"Scanner not detected","Hardware"
"USB-C port loose","Hardware"
"Laptop fan grinding noise","Hardware"
"Monitor colours distorted","Hardware"
"Laptop lid sensor faulty","Hardware"
"Touchscreen not responding","Hardware"
"Battery drains extremely fast","Hardware"
"Laptop trackpad clicking by itself","Hardware"
"External hard drive not detected","Hardware"
"Laptop charging port damaged","Hardware"
"Monitor brightness stuck","Hardware"
"Laptop freezes when moved","Hardware"
"Headphones not outputting sound","Hardware"
"Printer printing blank pages","Hardware"
"Laptop keyboard completely dead","Hardware"
"Monitor randomly turns off","Hardware"
"PC case fan not spinning","Hardware"
"Graphics card overheating","Hardware"
"Laptop won’t turn on","Hardware"
"Projector not displaying image","Hardware"
"Laptop screen shows vertical lines","Hardware"
"Mouse double-clicking unintentionally","Hardware"
"Laptop power cable frayed","Hardware"
"Teams will not open after update","Software"
"Excel crashing when opening files","Software"
"Browser freezing on login page","Software"
"Outlook not syncing emails","Software"
"Application stuck on loading screen","Software"
"Antivirus blocking legitimate app","Software"
"User cannot install software","Software"
"Windows update failing repeatedly","Software"
"VPN client crashing on launch","Software"
"Email rules not working","Software"
"PDF viewer not rendering documents","Software"
"Teams notifications not appearing","Software"
"Software license expired","Software"
"CRM application extremely slow","Software"
"Browser extensions causing errors","Software"
"Corrupted Windows user profile","Software"
"Office apps asking for activation","Software"
"Application missing DLL files","Software"
"User cannot save files","Software"
"Program freezing when printing","Software"
"Application not responding","Software"
"Browser redirects unexpectedly","Software"
"Outlook search not working","Software"
"Teams audio not functioning","Software"
"VPN client stuck on updating","Software"
"Application fails to launch","Software"
"Software update stuck at 0%","Software"
"Browser tabs crashing","Software"
"Email client corrupted","Software"
"Teams camera not detected","Software"
"Application permissions incorrect","Software"
"Windows login screen stuck","Software"
"Software installation corrupted","Software"
"Browser cache causing issues","Software"
"Outlook calendar not syncing","Software"
"Teams screen sharing not working","Software"
"Application timeout errors","Software"
"User cannot export files","Software"
"Program crashes on startup","Software"
"Browser certificate error","Software"
"Outlook keeps asking for password","Software"
"Teams chat not loading","Software"
"Application missing configuration","Software"
"Windows search not working","Software"
"Software freezing during updates","Software"
"Browser history not clearing","Software"
"Application UI not loading","Software"
"Teams stuck on connecting","Software"
"Outlook rules duplicating","Software"
"Password expired and cannot reset","Access"
"User locked out after failed logins","Access"
"Permission denied opening folder","Access"
"User needs access to shared mailbox","Access"
"MFA code not being received","Access"
"Account disabled due to inactivity","Access"
"Cannot access VPN due to credentials","Access"
"User requires admin rights","Access"
"Shared drive access removed","Access"
"User cannot access HR portal","Access"
"New employee needs system access","Access"
"Group membership not updating","Access"
"SSO login failing","Access"
"User cannot access finance system","Access"
"Incorrect permissions on project folder","Access"
"Two-factor authentication not working","Access"
"User cannot change password","Access"
"Access request pending too long","Access"
"Role-based access not applied","Access"
"User removed from security group","Access"
"User cannot access SharePoint","Access"
"VPN access revoked unexpectedly","Access"
"User cannot log into email","Access"
"Account locked due to policy","Access"
"User needs access to Teams group","Access"
"Permission denied editing document","Access"
"User cannot access Jira","Access"
"Access token expired","Access"
"User not found in directory","Access"
"User needs access to database","Access"
"Folder permissions incorrect","Access"
"User cannot authenticate via SSO","Access"
"Account locked after password change","Access"
"User cannot access OneDrive","Access"
"User needs elevated privileges","Access"
"Access revoked after role change","Access"
"User cannot access VPN portal","Access"
"Permission denied uploading files","Access"
"User cannot access payroll system","Access"
"User needs access to shared calendar","Access"
"User cannot access internal wiki","Access"
"User not added to distribution list","Access"
"User cannot access CRM","Access"
"User needs MFA reset","Access"
"User cannot access remote desktop","Access"
"Permission denied deleting files","Access"
"User cannot access ticketing system","Access"
"User needs access to Git repository","Access"
"User cannot access admin console","Access"
